schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,exercise_alternatives,Anyone can read exercise alternatives,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,exercise_alternatives,Coaches can delete exercise alternatives for their exercises,PERMISSIVE,{public},DELETE,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))) AND (EXISTS ( SELECT 1
   FROM exercises
  WHERE ((exercises.id = exercise_alternatives.primary_exercise_id) AND (exercises.coach_id = auth.uid())))))",null
public,exercise_alternatives,Coaches can insert exercise alternatives for their exercises,PERMISSIVE,{public},INSERT,null,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))) AND (EXISTS ( SELECT 1
   FROM exercises
  WHERE ((exercises.id = exercise_alternatives.primary_exercise_id) AND (exercises.coach_id = auth.uid())))) AND (EXISTS ( SELECT 1
   FROM exercises
  WHERE ((exercises.id = exercise_alternatives.alternative_exercise_id) AND (exercises.coach_id = auth.uid())))))"
public,exercise_alternatives,Coaches can update exercise alternatives for their exercises,PERMISSIVE,{public},UPDATE,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))) AND (EXISTS ( SELECT 1
   FROM exercises
  WHERE ((exercises.id = exercise_alternatives.primary_exercise_id) AND (exercises.coach_id = auth.uid())))))","((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'coach'::text)))) AND (EXISTS ( SELECT 1
   FROM exercises
  WHERE ((exercises.id = exercise_alternatives.primary_exercise_id) AND (exercises.coach_id = auth.uid())))))"
public,workout_hr_sets,Clients can view HR sets for assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_hr_sets.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_hr_sets,Coaches can manage HR sets for their templates,PERMISSIVE,{public},ALL,"((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_hr_sets.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))","((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_hr_sets.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))"
public,workout_logs,Clients can insert their own workout logs,PERMISSIVE,{authenticated},INSERT,null,(auth.uid() = client_id)
public,workout_logs,Clients can read their own workout logs,PERMISSIVE,{authenticated},SELECT,(auth.uid() = client_id),null
public,workout_logs,Clients can update their own workout logs,PERMISSIVE,{authenticated},UPDATE,(auth.uid() = client_id),(auth.uid() = client_id)
public,exercises,Coaches can manage their exercises,PERMISSIVE,{public},ALL,(auth.uid() = coach_id),null
public,exercises,exercises_delete_coach,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,exercises,exercises_insert_coach,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,exercises,exercises_select_public,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,exercises,exercises_update_coach,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,body_metrics,Clients can view their own body metrics,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,body_metrics,Coaches can view their clients' body metrics,PERMISSIVE,{public},ALL,"((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,fms_assessments,fms_assessments_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = fms_assessments.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,fms_assessments,fms_assessments_insert,PERMISSIVE,{public},INSERT,null,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,fms_assessments,fms_assessments_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = fms_assessments.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,fms_assessments,fms_assessments_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = fms_assessments.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = fms_assessments.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,achievements,achievements_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = achievements.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,achievements,achievements_insert,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
public,achievements,achievements_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = achievements.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,achievements,achievements_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = achievements.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = achievements.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,personal_records,personal_records_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = personal_records.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,personal_records,personal_records_insert,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
public,personal_records,personal_records_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = personal_records.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,personal_records,personal_records_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = personal_records.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = personal_records.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,workout_exercise_logs,workout_exercise_logs_delete,PERMISSIVE,{public},DELETE,"((EXISTS ( SELECT 1
   FROM workout_logs wl
  WHERE ((wl.id = workout_exercise_logs.workout_log_id) AND ((wl.client_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wl.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,workout_exercise_logs,workout_exercise_logs_insert,PERMISSIVE,{public},INSERT,null,"((EXISTS ( SELECT 1
   FROM workout_logs wl
  WHERE ((wl.id = workout_exercise_logs.workout_log_id) AND (wl.client_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,workout_exercise_logs,workout_exercise_logs_select,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM workout_logs wl
  WHERE ((wl.id = workout_exercise_logs.workout_log_id) AND ((wl.client_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wl.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,workout_exercise_logs,workout_exercise_logs_update,PERMISSIVE,{public},UPDATE,"((EXISTS ( SELECT 1
   FROM workout_logs wl
  WHERE ((wl.id = workout_exercise_logs.workout_log_id) AND ((wl.client_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wl.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((EXISTS ( SELECT 1
   FROM workout_logs wl
  WHERE ((wl.id = workout_exercise_logs.workout_log_id) AND ((wl.client_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM clients c
          WHERE ((c.client_id = wl.client_id) AND (c.coach_id = auth.uid())))))))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,mobility_metrics,mobility_metrics_delete,PERMISSIVE,{public},DELETE,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = mobility_metrics.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,mobility_metrics,mobility_metrics_insert,PERMISSIVE,{public},INSERT,null,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,mobility_metrics,mobility_metrics_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = mobility_metrics.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,mobility_metrics,mobility_metrics_update,PERMISSIVE,{public},UPDATE,"((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = mobility_metrics.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id = auth.uid()) OR (coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = mobility_metrics.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,goals,Coaches can view client goals,PERMISSIVE,{public},SELECT,(auth.uid() = coach_id),null
public,goals,Users can delete their own goals,PERMISSIVE,{public},DELETE,(auth.uid() = client_id),null
public,goals,Users can insert their own goals,PERMISSIVE,{public},INSERT,null,(auth.uid() = client_id)
public,goals,Users can view their own goals,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,goals,goals_update_own,PERMISSIVE,{public},UPDATE,(client_id = auth.uid()),(client_id = auth.uid())
public,leaderboard_entries,leaderboard_entries_manage_coach,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])))))",null
public,leaderboard_entries,leaderboard_entries_select_all,PERMISSIVE,{public},SELECT,true,null
public,user_exercise_metrics,Users view own metrics,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,user_exercise_metrics,user_exercise_metrics_insert_own,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,user_exercise_metrics,user_exercise_metrics_update_own,PERMISSIVE,{public},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,client_program_progression_rules,Clients can view their own progression rules,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients c
  WHERE ((c.client_id = client_program_progression_rules.client_id) AND (c.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,client_program_progression_rules,Coaches delete client program rules,PERMISSIVE,{authenticated},DELETE,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_program_progression_rules,Coaches insert client program rules,PERMISSIVE,{authenticated},INSERT,null,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))"
public,client_program_progression_rules,Coaches select client program rules,PERMISSIVE,{authenticated},SELECT,"(client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid())))",null
public,client_program_progression_rules,client_program_progression_rules_update,PERMISSIVE,{public},UPDATE,"((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((client_id IN ( SELECT clients.client_id
   FROM clients
  WHERE (clients.coach_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,program_progression_rules,Coaches can delete progression rules for their programs,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_progression_rules.program_id) AND (wp.coach_id = auth.uid()))))",null
public,program_progression_rules,Coaches can insert progression rules for their programs,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_progression_rules.program_id) AND (wp.coach_id = auth.uid()))))"
public,program_progression_rules,Coaches can update progression rules for their programs,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_progression_rules.program_id) AND (wp.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_progression_rules.program_id) AND (wp.coach_id = auth.uid()))))"
public,program_progression_rules,Coaches can view progression rules for their programs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM workout_programs wp
  WHERE ((wp.id = program_progression_rules.program_id) AND (wp.coach_id = auth.uid()))))",null
public,workout_drop_sets,Clients can view drop sets in assigned workouts,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM ((workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
     JOIN workout_assignments wa ON ((wt.id = wa.workout_template_id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wa.client_id = auth.uid()))))",null
public,workout_drop_sets,Coaches can delete drop sets from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_drop_sets,Coaches can insert drop sets into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_drop_sets,Coaches can update drop sets in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_drop_sets,Coaches can view drop sets in their blocks,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_drop_sets.block_id) AND (wt.coach_id = auth.uid())))) OR is_admin(auth.uid()))",null
public,workout_pyramid_sets,Coaches can delete pyramid sets from their blocks,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_pyramid_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,workout_pyramid_sets,Coaches can insert pyramid sets into their blocks,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_pyramid_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_pyramid_sets,Coaches can update pyramid sets in their blocks,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_pyramid_sets.block_id) AND (wt.coach_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_pyramid_sets.block_id) AND (wt.coach_id = auth.uid()))))"
public,workout_pyramid_sets,Coaches can view pyramid sets in their blocks,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (workout_blocks wb
     JOIN workout_templates wt ON ((wb.template_id = wt.id)))
  WHERE ((wb.id = workout_pyramid_sets.block_id) AND (wt.coach_id = auth.uid()))))",null
public,achievement_templates,Achievement templates are viewable by everyone,PERMISSIVE,{public},SELECT,true,null
public,achievement_templates,achievement_templates_insert_coach_admin,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,achievement_templates,achievement_templates_update_coach_admin,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text])))))"
public,user_achievements,Users can insert their own achievements,PERMISSIVE,{public},INSERT,null,(auth.uid() = client_id)
public,user_achievements,Users can view their own achievements,PERMISSIVE,{public},SELECT,(auth.uid() = client_id),null
public,user_achievements,user_achievements_insert_own,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
